power,rounds,threshold,pearson,spearman
2,10,0.7,"[0.7888153465342139, 0.7888153465342139, 0.7888153465342139]","[0.8324461193252513, 0.8324461193252513, 0.8324461193252513]"
3,1,0.05,"[0.8323696220444288, 0.8323696220444288, 0.8323696220444288]","[0.8598306572294776, 0.8598306572294776, 0.8598306572294776]"
3,1,0.1,"[0.8382897371727045, 0.8382897371727045, 0.8382897371727045]","[0.8634279580727737, 0.8634279580727737, 0.8634279580727737]"
3,1,0.2,"[0.8373005604074134, 0.8373005604074134, 0.8373005604074134]","[0.8626300749295719, 0.8626300749295719, 0.8626300749295719]"
3,1,0.3,"[0.8379456732491223, 0.8379456732491223, 0.8379456732491223]","[0.8631410828255753, 0.8631410828255753, 0.8631410828255753]"
3,1,0.5,"[0.8391014085874076, 0.8391014085874076, 0.8391014085874076]","[0.8643010859355897, 0.8643010859355897, 0.8643010859355897]"
3,1,0.7,"[0.8407016213535644, 0.8407016213535644, 0.8407016213535644]","[0.8616377313860066, 0.8616377313860066, 0.8616377313860066]"
3,3,0.05,"[0.8375948907580907, 0.8375948907580907, 0.8375948907580907]","[0.8623473229078354, 0.8623473229078354, 0.8623473229078354]"
3,3,0.1,"[0.8368579354770928, 0.8368579354770928, 0.8368579354770928]","[0.8613387057563275, 0.8613387057563275, 0.8613387057563275]"
3,3,0.2,"[0.8375793222362742, 0.8375793222362742, 0.8375793222362742]","[0.8623066706997403, 0.8623066706997403, 0.8623066706997403]"
3,3,0.3,"[0.8337119734820639, 0.8337119734820639, 0.8337119734820639]","[0.8580372862115552, 0.8580372862115552, 0.8580372862115552]"
3,3,0.5,"[0.8236465959122817, 0.8236465959122817, 0.8236465959122817]","[0.8540814268055289, 0.8540814268055289, 0.8540814268055289]"
3,3,0.7,"[0.7804124273569549, 0.7804124273569549, 0.7804124273569549]","[0.8273258090182416, 0.8273258090182416, 0.8273258090182416]"
3,5,0.05,"[0.8377486700878567, 0.8377486700878567, 0.8377486700878567]","[0.8615267603139285, 0.8615267603139285, 0.8615267603139285]"
3,5,0.1,"[0.8380110644478849, 0.8380110644478849, 0.8380110644478849]","[0.8628578326717784, 0.8628578326717784, 0.8628578326717784]"
3,5,0.2,"[0.8305399312042008, 0.8305399312042008, 0.8305399312042008]","[0.8568245895328673, 0.8568245895328673, 0.8568245895328673]"
3,5,0.3,"[0.8312251867725788, 0.8312251867725788, 0.8312251867725788]","[0.8572807082893531, 0.8572807082893531, 0.8572807082893531]"
3,5,0.5,"[0.816205391489214, 0.816205391489214, 0.816205391489214]","[0.8474560770288161, 0.8474560770288161, 0.8474560770288161]"
3,5,0.7,"[0.786144233037729, 0.786144233037729, 0.786144233037729]","[0.8288141579386638, 0.8288141579386638, 0.8288141579386638]"
3,10,0.05,"[0.8396980294735792, 0.8396980294735792, 0.8396980294735792]","[0.8624711488925892, 0.8624711488925892, 0.8624711488925892]"
3,10,0.1,"[0.8398366466232412, 0.8398366466232412, 0.8398366466232412]","[0.8637589521877084, 0.8637589521877084, 0.8637589521877084]"
3,10,0.2,"[0.8326991277761862, 0.8326991277761862, 0.8326991277761862]","[0.8589246714679611, 0.8589246714679611, 0.8589246714679611]"
3,10,0.3,"[0.8289404790348779, 0.8289404790348779, 0.8289404790348779]","[0.8548833234285481, 0.8548833234285481, 0.8548833234285481]"
3,10,0.5,"[0.8154599225267752, 0.8154599225267752, 0.8154599225267752]","[0.8440367150633179, 0.8440367150633179, 0.8440367150633179]"
3,10,0.7,"[0.7634543959545924, 0.7634543959545924, 0.7634543959545924]","[0.816400030289573, 0.816400030289573, 0.816400030289573]"
