,dp-hek293t,pd-hek293t,pd-adv,pd-k562,pd-k562mlh1dn
Lasso,"[(0.4782546737741159, 0.6244751703334932), (0.4807923014055205, 0.6297044764571451), (0.47356089776311816, 0.6221165666282918), (0.47894073747931154, 0.626401688773485), (0.4721823770988343, 0.6193970544060275)]","[(0.724790636564807, 0.8039598704866452), (0.7282782925799367, 0.8044270759762765), (0.7257480771060346, 0.7956732887601885), (0.7259140653902575, 0.7933009249978304), (0.7279307199687216, 0.8008283433756517)]","[(0.36745300186967644, 0.5476771442956996), (0.4003498445900121, 0.540180130298842), (0.3640159597368552, 0.5407541716629055), (0.3727054122156826, 0.5453541602219653), (0.3809254171328932, 0.5456444243676306)]","[(0.4111335839660726, 0.6178659146511041), (0.4122712223209479, 0.5993648911736513), (0.4099424742317089, 0.5876232618379194), (0.4175710874385664, 0.6138896793878017), (0.42926272784138325, 0.6025378624319644)]","[(0.6427924482156209, 0.7668328295929295), (0.6418611871003391, 0.7598134392254309), (0.636708633243112, 0.7503062486800075), (0.636751990727804, 0.7537884508714223), (0.6419187147095116, 0.7605493958558593)]"
Ridge,"[(0.4789450204905127, 0.6239472097543418), (0.48130391067032485, 0.6289742059308001), (0.4742996513221558, 0.6216773455303238), (0.4795455430633675, 0.6258696825916983), (0.4725281311275008, 0.6186936706534059)]","[(0.7220312484811661, 0.805095498746808), (0.7263760928718654, 0.8058532365457343), (0.7235790047982503, 0.7967852191367243), (0.7249397292705906, 0.7957330085110981), (0.7265118452495115, 0.8031848973095914)]","[(0.3672233256356153, 0.5462378498826761), (0.3985353703218082, 0.5376329198435676), (0.3626758348434779, 0.5384638912086234), (0.3715398898316056, 0.5426378567426215), (0.380640318159774, 0.5441439032189994)]","[(0.407086701617713, 0.6193746923038693), (0.41062988211104984, 0.6030855728286515), (0.40735670135901864, 0.5870743550595273), (0.4152956545659633, 0.6144941494343557), (0.42674996525503567, 0.6035587183775795)]","[(0.6390666404381897, 0.7681778460977907), (0.6399177205058783, 0.7630640082925502), (0.6331347297997418, 0.7515757431901908), (0.6351780915966699, 0.7572411284825266), (0.6398721344019058, 0.7648572242602495)]"
XGBoost,"[(0.6830840206020848, 0.706669166061669), (0.6829044476969314, 0.7094211294557947), (0.671449961652932, 0.7050814856518144), (0.6821915586043362, 0.70946011669987), (0.6730389541666517, 0.7047716045248319)]","[(0.8378764602839108, 0.8451805337172772), (0.8353596274267526, 0.8349987989043167), (0.8369248862912875, 0.8375444314678939), (0.8289903442244276, 0.8397381742402042), (0.8327318930457699, 0.8396830158704464)]","[(0.38339222387891025, 0.48465272040360124), (0.43502990207129716, 0.4809804477516603), (0.376425409829848, 0.4796020010278425), (0.42687592181021056, 0.48595018347933133), (0.4605034003346023, 0.5000992397095559)]","[(0.5097523890082232, 0.5882427674071459), (0.5015575657675804, 0.5623386888301011), (0.5039342939229747, 0.5687833252368449), (0.5166265855659722, 0.5866170199415788), (0.519108968775433, 0.5652244585080799)]","[(0.7620425633891599, 0.7867172499809815), (0.7515730027991785, 0.7803812169320737), (0.7507139866900435, 0.7839430751819146), (0.755187751649025, 0.7855363077091572), (0.7536395179977126, 0.7841015733919285)]"
RF,"[(0.5466548093027793, 0.6554852669039746), (0.546970061533267, 0.6544914971241744), (0.5411373529802663, 0.6518294238197161), (0.5488055127595046, 0.656441706117315), (0.5472577624660829, 0.6528822468681181)]","[(0.8042300882229417, 0.825077982956248), (0.8062662313029267, 0.8194875412986099), (0.8069054630894009, 0.816293166829528), (0.8049823834510376, 0.8243455883847272), (0.8021940622119947, 0.8185911821223871)]","[(0.37036294883296106, 0.527431317593599), (0.42836196373813457, 0.5455154814063944), (0.41150974796874695, 0.5453842695181746), (0.40098038895711646, 0.5337594239491166), (0.436068787021133, 0.5554185590118424)]","[(0.4564191212489246, 0.6283397284941571), (0.4418957843516608, 0.606021748616398), (0.4594838698963256, 0.6152002525872107), (0.4543357344345661, 0.624272736214282), (0.487030921455113, 0.6135172137350812)]","[(0.7612894319420733, 0.8085143605130621), (0.7454621739539296, 0.8025165107781557), (0.7558355382320336, 0.796699575951708), (0.7517390149842391, 0.8078823981431482), (0.7540219094742785, 0.803257540829103)]"
MLP,"[(0.6712391188685414, 0.7209518796241547), (0.6771810414120725, 0.7258806513582833), (0.6656166738255057, 0.7190423276457876), (0.6722534178250972, 0.723834918008195), (0.6662116165395873, 0.7163447363959918)]","[(0.7896703547920899, 0.8114409015294082), (0.8022651649070878, 0.8210361092180941), (0.800825182096703, 0.8174458317228185), (0.7881551660880418, 0.8180081451893032), (0.8100364626005772, 0.835838576733305)]","[(0.4237459550994734, 0.5691885790343904), (0.46351584291964304, 0.5594465142295497), (0.44441999381130304, 0.5643066675470357), (0.42072433389186314, 0.5053600991001914), (0.46484532289071345, 0.5371780620347911)]","[(0.49986166088899503, 0.6403626258241213), (0.4883646260382269, 0.643796587360076), (0.5073924414618254, 0.6208866580502753), (0.505574975806466, 0.6505013560422249), (0.5091439066449509, 0.6292443771334431)]","[(0.7328897904505509, 0.8005037264022796), (0.7355368672051207, 0.8003229807624755), (0.7402769340662806, 0.8009605359609188), (0.7235407435924842, 0.796287253339956), (0.7352631259104633, 0.7946806573445144)]"
